high_school,fall_term,county,frpm_pct,admit_rate_residual,expected_admit_rate,admit_rate,applicants,cds_code
BURLINGAME HIGH SCHOOL,2017,San Mateo,0.0659649122807017,-0.0188068536887694,0.6997884487807939,0.6809815950920245,163.0,41690474130472.0
CALIFORNIA HIGH SCHOOL,2017,Contra Costa,0.0548197203826342,-0.0492203009956447,0.7108172591705497,0.6615969581749049,263.0,7618040730051.0
CALISTOGA JUNIOR SENIOR HIGH SCHOOL,2017,Napa,0.5523255813953488,0.1842643305508665,0.5849664386799027,0.7692307692307693,13.0,28662412831758.0
CAMPOLINDO HIGH SCHOOL,2017,Contra Costa,0.014514896867838,-0.0262404113530517,0.7161138290745708,0.689873417721519,158.0,7616300731125.0
CAPUCHINO HIGH SCHOOL,2017,San Mateo,0.2599830076465591,-0.0575384504313325,0.6656465585394407,0.6081081081081081,74.0,41690474130738.0
CARLMONT HIGH SCHOOL,2017,San Mateo,0.0938661710037174,-0.0486432327389221,0.7153098994055888,0.6666666666666666,249.0,41690624130993.0
CASA GRANDE HIGH SCHOOL,2017,Sonoma,0.3892215568862275,-0.0996718358194941,0.6552273913750497,0.5555555555555556,81.0,49708624930012.0
CASTLEMONT HIGH SCHOOL,2017,Alameda,0.8287220026350461,-0.1210941128533557,0.6210941128533557,0.5,14.0,1612590125161.0
CASTRO VALLEY HIGH SCHOOL,2017,Alameda,0.2202054794520548,-0.1185845777460843,0.7068198718637314,0.5882352941176471,238.0,1611500132225.0
CHRISTOPHER HIGH SCHOOL,2017,Santa Clara,0.4026121521862578,-0.1329356115582642,0.6772394090266187,0.5443037974683544,79.0,43694840118380.0
CITY ARTS AND LEADERSHIP ACADEMY,2017,San Francisco,0.7223880597014926,-0.0396227335375636,0.7319304258452559,0.6923076923076923,13.0,38684780107300.0
